<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20131210,180000,9069.0000000,9078.6000000,9041.5000000,9050.0000000,5794
20131210,190000,9048.7000000,9065.0000000,9040.0000000,9040.0000000,8171
20131211,110000,9039.1000000,9069.8000000,8955.0000000,8973.0000000,10664
20131211,120000,8969.5000000,8986.6000000,8941.1000000,8955.0000000,5261
20131211,130000,8955.0000000,9132.0000000,8954.5000000,9086.5000000,29424
20131211,140000,9086.5000000,9128.4000000,9067.4000000,9100.0000000,16720
20131211,150000,9100.0000000,9109.7000000,9075.0000000,9089.9000000,5954
20131211,160000,9090.0000000,9128.4000000,9082.7000000,9099.9000000,14132
20131211,170000,9099.9000000,9199.0000000,9096.7000000,9147.0000000,29003
20131211,180000,9145.4000000,9158.0000000,9091.0000000,9102.6000000,6880
20131211,190000,9100.9000000,9150.0000000,9070.0000000,9100.1000000,12385
20131212,110000,9039.9000000,9049.9000000,8920.0000000,8983.2000000,17160
20131212,120000,8984.0000000,9033.1000000,8980.0000000,9010.5000000,9793
20131212,130000,9016.7000000,9058.4000000,8981.5000000,9014.5000000,11299
20131212,140000,9017.2000000,9022.0000000,8968.7000000,9017.8000000,6311
20131212,150000,9015.9000000,9020.0000000,8960.9000000,8976.0000000,7767
20131212,160000,8976.6000000,9016.3000000,8970.4000000,8976.7000000,2372
20131212,170000,8975.9000000,9030.0000000,8968.0000000,9023.1000000,8154
20131212,180000,9022.0000000,9025.0000000,8985.1000000,9023.9000000,9128
20131212,190000,9023.8000000,9025.0000000,8970.0000000,8970.0000000,16452
20131213,110000,8989.5000000,9098.0000000,8971.1000000,9035.7000000,8396
20131213,120000,9028.0000000,9045.6000000,9021.4000000,9035.7000000,1095
20131213,130000,9035.8000000,9047.6000000,8983.2000000,8986.1000000,8687
20131213,140000,8988.6000000,9012.1000000,8980.6000000,8987.7000000,5854
20131213,150000,8988.8000000,9006.8000000,8980.6000000,8996.8000000,5751
20131213,160000,8999.0000000,9027.5000000,8993.8000000,9016.9000000,7914
20131213,170000,9014.7000000,9023.7000000,8990.8000000,9003.3000000,2864
20131213,180000,9000.0000000,9044.9000000,9000.0000000,9037.6000000,10272
20131213,190000,9038.0000000,9070.0000000,9017.0000000,9066.2000000,7618
20131216,110000,9014.0000000,9072.3000000,8990.2000000,9056.2000000,6620
20131216,120000,9056.4000000,9082.0000000,9056.3000000,9082.0000000,5562
20131216,130000,9082.0000000,9111.9000000,9051.2000000,9051.2000000,12001
20131216,140000,9051.1000000,9077.3000000,9046.0000000,9072.7000000,3812
20131216,150000,9072.3000000,9079.9000000,9052.2000000,9071.5000000,7029
20131216,160000,9071.2000000,9085.0000000,9048.1000000,9076.5000000,24219
20131216,170000,9072.5000000,9114.0000000,9053.3000000,9088.9000000,17887
20131216,180000,9084.3000000,9160.0000000,9079.0000000,9160.0000000,19720
20131216,190000,9160.0000000,9173.9000000,9107.0000000,9138.5000000,19643
20131217,110000,9127.3000000,9135.1000000,9080.1000000,9133.2000000,4332
20131217,120000,9131.5000000,9140.2000000,9122.0000000,9123.1000000,3068
20131217,130000,9123.0000000,9185.0000000,9107.3000000,9166.7000000,7043
20131217,140000,9170.9000000,9179.4000000,9143.0000000,9174.0000000,4023
20131217,150000,9177.4000000,9215.7000000,9173.6000000,9206.9000000,11113
20131217,160000,9206.7000000,9215.0000000,9205.0000000,9207.9000000,4398
20131217,170000,9207.9000000,9230.0000000,9200.0000000,9213.1000000,11215
20131217,180000,9219.8000000,9230.0000000,9203.5000000,9209.4000000,7702
20131217,190000,9209.6000000,9211.5000000,9147.8000000,9158.0000000,18187
20131218,110000,9158.2000000,9216.2000000,9158.1000000,9191.8000000,2428
20131218,120000,9192.0000000,9209.9000000,9180.1000000,9207.4000000,2494
20131218,130000,9208.2000000,9215.9000000,9156.8000000,9176.8000000,9959
20131218,140000,9176.9000000,9190.0000000,9140.1000000,9162.7000000,14528
20131218,150000,9161.2000000,9177.9000000,9155.0000000,9162.0000000,6301
20131218,160000,9165.4000000,9172.7000000,9112.4000000,9128.0000000,18289
20131218,170000,9129.4000000,9164.1000000,9125.1000000,9151.6000000,8602
20131218,180000,9156.1000000,9204.8000000,9121.1000000,9201.1000000,24906
20131218,190000,9202.9000000,9220.0000000,9192.6000000,9207.8000000,15917
20131219,110000,9288.8000000,9385.0000000,9280.0000000,9319.9000000,19375
20131219,120000,9316.0000000,9330.0000000,9311.1000000,9318.6000000,4012
20131219,130000,9320.7000000,9330.0000000,9230.0000000,9246.5000000,23015
20131219,140000,9249.8000000,9254.0000000,9225.0000000,9246.9000000,6457
20131219,150000,9246.9000000,9250.0000000,9221.5000000,9232.2000000,6432
20131219,160000,9232.1000000,9238.5000000,9221.1000000,9224.1000000,4598
20131219,170000,9225.9000000,9290.0000000,9202.0000000,9229.4000000,25772
20131219,180000,9235.9000000,9250.4000000,9144.2000000,9148.1000000,13252
20131219,190000,9153.0000000,9174.3000000,9073.9000000,9085.0000000,26167
20131220,110000,9140.0000000,9140.0000000,9051.5000000,9089.0000000,9736
20131220,120000,9089.0000000,9101.0000000,9039.0000000,9061.4000000,16499
20131220,130000,9067.3000000,9069.0000000,8928.0000000,8986.6000000,29350
20131220,140000,8991.2000000,9092.4000000,8984.6000000,9073.4000000,15099
20131220,150000,9073.2000000,9086.0000000,9047.3000000,9060.7000000,7829
20131220,160000,9064.3000000,9079.7000000,8949.7000000,8965.1000000,13948
20131220,170000,8962.5000000,9002.0000000,8962.0000000,8973.5000000,18041
20131220,180000,8973.5000000,9020.7000000,8973.1000000,9000.0000000,21266
20131220,190000,9000.0000000,9020.0000000,8945.0000000,8960.0000000,15941
20131223,110000,9010.0000000,9049.0000000,8960.9000000,8977.1000000,5183
20131223,120000,8973.8000000,9020.7000000,8971.0000000,9000.1000000,2265
20131223,130000,9000.1000000,9032.0000000,8973.6000000,9000.0000000,12468
20131223,140000,9004.0000000,9024.5000000,8986.9000000,9020.7000000,13876
